,Country,Basel_Convention,CITES,Convention_On_Biological_Diversity,Convention_On_Migratory_Species,Kyoto_Protocol,Montreal_Protocol,Paris_Agreement,Ramsar_Convention,Rotterdam_Convention,Stockholm_Convention,UN_Convention_on_the_Law_of_the_Sea,UN_Convention_to_Combat_Desertification,UN_Framework_Convention_on_Climate_Change,World_Heritage_Convention
0,Afghanistan,11+ year adopter,6-10 year adopter,6-10 year adopter,11+ year adopter,6-10 year adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,6-10 year adopter,6-10 year adopter,Non-adopter,Original Adopter,6-10 year adopter,6-10 year adopter
1,Albania,6-10 year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,6-10 year adopter,Original Adopter,11+ year adopter,6-10 year adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
2,Algeria,6-10 year adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,6-10 year adopter,Non-adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
3,Andorra,6-10 year adopter,Non-adopter,11+ year adopter,Non-adopter,Non-adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Non-adopter,Non-adopter,Non-adopter,6-10 year adopter,11+ year adopter,11+ year adopter
4,Angola,11+ year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Non-adopter,Non-adopter,Non-adopter,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,6-10 year adopter,11+ year adopter
5,Antigua and Barbuda,1-5 Year Adopter,11+ year adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,6-10 year adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
6,Argentina,Original Adopter,6-10 year adopter,1-5 Year Adopter,6-10 year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
7,Armenia,6-10 year adopter,11+ year adopter,Original Adopter,11+ year adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
8,Australia,Original Adopter,1-5 Year Adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter
9,Austria,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,Original Adopter,6-10 year adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
10,Azerbaijan,6-10 year adopter,11+ year adopter,6-10 year adopter,Non-adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,Non-adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
11,Bahamas,Original Adopter,1-5 Year Adopter,Original Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
12,Bahrain,Original Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
13,Bangladesh,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Non-adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
14,Barbados,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Non-adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
15,Belarus,6-10 year adopter,11+ year adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Non-adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,6-10 year adopter,11+ year adopter
16,Belgium,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,6-10 year adopter,Original Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
17,Belize,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,6-10 year adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
18,Benin,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter
19,Bhutan,6-10 year adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Non-adopter,Non-adopter,Non-adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter
20,Bolivia (Plurinational State of),1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Non-adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
21,Bosnia and Herzegovina,6-10 year adopter,11+ year adopter,6-10 year adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,6-10 year adopter,11+ year adopter,6-10 year adopter,6-10 year adopter,11+ year adopter
22,Botswana,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,6-10 year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
23,Brazil,Original Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter
24,Brunei Darussalam,6-10 year adopter,11+ year adopter,11+ year adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Non-adopter,Non-adopter,Non-adopter,11+ year adopter,6-10 year adopter,11+ year adopter,11+ year adopter
25,Bulgaria,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter
26,Burkina Faso,6-10 year adopter,11+ year adopter,Original Adopter,6-10 year adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
27,Burundi,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,6-10 year adopter,Non-adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
28,Cabo Verde,6-10 year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
29,Cambodia,6-10 year adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
30,Cameroon,6-10 year adopter,6-10 year adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
31,Canada,Original Adopter,Original Adopter,Original Adopter,Non-adopter,Original Adopter,Original Adopter,Original Adopter,6-10 year adopter,Original Adopter,Original Adopter,11+ year adopter,11+ year adopter,Original Adopter,1-5 Year Adopter
32,Central African Republic,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Non-adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter
33,Chad,11+ year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
34,Chile,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
35,China,Original Adopter,6-10 year adopter,Original Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
36,Colombia,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Non-adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
37,Comoros,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Non-adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
38,Congo,11+ year adopter,6-10 year adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
39,Costa Rica,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter
40,C̫te d'Ivoire,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
41,Croatia,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
42,Cuba,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
43,Cyprus,Original Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter
44,Czechia,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
45,Democratic People's Republic of Korea,11+ year adopter,Non-adopter,1-5 Year Adopter,Non-adopter,Original Adopter,6-10 year adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,Non-adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter
46,Democratic Republic of the Congo,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter,Non-adopter,1-5 Year Adopter,Non-adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter
47,Denmark,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter
48,Djibouti,6-10 year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,6-10 year adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
49,Dominica,6-10 year adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Non-adopter,1-5 Year Adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
50,Dominican Republic,6-10 year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,6-10 year adopter,11+ year adopter
51,Ecuador,1-5 Year Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
52,Egypt,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
53,El Salvador,Original Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
54,Equatorial Guinea,11+ year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,11+ year adopter,Non-adopter,11+ year adopter,Original Adopter,Non-adopter,11+ year adopter,1-5 Year Adopter,6-10 year adopter,11+ year adopter
55,Eritrea,11+ year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,11+ year adopter,Non-adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
56,Estonia,Original Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,6-10 year adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter
57,Ethiopia,6-10 year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,Original Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter
58,Fiji,Non-adopter,11+ year adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Non-adopter,Original Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
59,Finland,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
60,France,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter
61,Gabon,11+ year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,6-10 year adopter,11+ year adopter
62,Gambia,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
63,Georgia,6-10 year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
64,Germany,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
65,Ghana,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
66,Greece,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
67,Grenada,Non-adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Non-adopter,Non-adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
68,Guatemala,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
69,Guinea,1-5 Year Adopter,6-10 year adopter,Original Adopter,6-10 year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
70,Guinea-Bissau,11+ year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,11+ year adopter,Non-adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
71,Guyana,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter
72,Haiti,Original Adopter,Non-adopter,1-5 Year Adopter,Non-adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Non-adopter,Non-adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter
73,Honduras,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
74,Hungary,Original Adopter,6-10 year adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
75,Iceland,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
76,India,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
77,Indonesia,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
78,Iran (Islamic Republic of),1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter
79,Iraq,11+ year adopter,11+ year adopter,11+ year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Non-adopter,11+ year adopter,11+ year adopter,11+ year adopter,Non-adopter,11+ year adopter,11+ year adopter,1-5 Year Adopter
80,Ireland,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,6-10 year adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
81,Israel,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,6-10 year adopter,Non-adopter,Non-adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
82,Italy,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Non-adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
83,Jamaica,11+ year adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
84,Japan,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Non-adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
85,Jordan,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
86,Kazakhstan,11+ year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,6-10 year adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
87,Kenya,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
88,Kiribati,6-10 year adopter,Non-adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Non-adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
89,Kuwait,1-5 Year Adopter,11+ year adopter,6-10 year adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Non-adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
90,Kyrgyzstan,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,11+ year adopter,Non-adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,6-10 year adopter,11+ year adopter
91,Lao People's Democratic Republic,11+ year adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,6-10 year adopter,Original Adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
92,Latvia,Original Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter
93,Lebanon,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
94,Lesotho,6-10 year adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
95,Liberia,11+ year adopter,6-10 year adopter,6-10 year adopter,11+ year adopter,Original Adopter,6-10 year adopter,Non-adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,6-10 year adopter,11+ year adopter
